cm-1,AuNP_0,AuNP_15,AuNP_30,AuNP_60,AuNP_120
889.0,0.23837056840785678,0.2431599660349921,0.234795384285758,0.20387871670775354,0.17457323886352039
890.0,0.230695431374681,0.23477040569879953,0.22637813351290134,0.19610746773852336,0.16682275284345952
891.0,0.2230202943415052,0.2271435326658972,0.21872608735575894,0.1883362187692932,0.16036401449340884
892.0,0.21688018471496462,0.22027934693628512,0.21107404119861653,0.18315538612313978,0.15519702381336825
893.0,0.20997256138510637,0.213415161206673,0.20418719965718835,0.1753841371539096,0.15003003313332772
894.0,0.2030649380552482,0.20655097547706092,0.1980655627314744,0.17020330450775614,0.1461547901232973
895.0,0.19692482842870757,0.20044947705073904,0.1927091304214747,0.16502247186160268,0.14227954711326687
896.0,0.19001720509884937,0.19358529132112695,0.187352698111475,0.15984163921544925,0.1371125564332263
897.0,0.18464460917562633,0.18824648019809534,0.1835266750329038,0.1572512228923725,0.1332373134231959
898.0,0.17927201325240327,0.18290766907506367,0.17970065195433257,0.15466080656929582,0.1306538180831756
899.0,0.1746669310324978,0.1783315452553223,0.17663983349147563,0.15466080656929582,0.12807032274315533
900.0,0.17006184881259234,0.1745181087388711,0.1743442196443329,0.15466080656929582,0.12548682740313505
901.0,0.16699179399932204,0.17223004682900042,0.17281381041290442,0.15466080656929582,0.12419507973312491
902.0,0.1639217391860517,0.1699419849191297,0.17128340118147592,0.15466080656929582,0.12290333206311478
903.0,0.16238671177941658,0.16841661031254926,0.17128340118147592,0.15207039024621907,0.12161158439310463
904.0,0.16161919807609898,0.16841661031254926,0.17204860579719017,0.14947997392314236,0.12031983672309449
905.0,0.16238671177941658,0.1699419849191297,0.17357901502861867,0.14947997392314236,0.12031983672309449
906.0,0.16468925288936928,0.1714673595257102,0.17663983349147563,0.14947997392314236,0.12031983672309449
907.0,0.1677593077026396,0.1745181087388711,0.17970065195433257,0.14947997392314236,0.12031983672309449
908.0,0.1715968762192275,0.1783315452553223,0.1835266750329038,0.15207039024621907,0.12031983672309449
909.0,0.17543444473581538,0.18214498177177346,0.187352698111475,0.15466080656929582,0.12031983672309449
910.0,0.1785044995490857,0.1851957309849344,0.18888310734290348,0.1572512228923725,0.11902808905308436
911.0,0.18080704065903844,0.18748379289480507,0.18964831195861775,0.15466080656929582,0.1177363413830742
912.0,0.18080704065903844,0.18748379289480507,0.18888310734290348,0.15466080656929582,0.11515284604305394
913.0,0.18003952695572087,0.18595841828822463,0.18658749349576076,0.14947997392314236,0.11256935070303366
914.0,0.1777369858457681,0.18367035637835394,0.18276147041718957,0.14688955760006564,0.10998585536301336
915.0,0.17389941732918024,0.17985691986190278,0.17740503810718986,0.1442991412769889,0.10740236002299308
916.0,0.16852682140595718,0.17528079604216137,0.17204860579719017,0.14170872495391218,0.10481886468297281
917.0,0.16315422548273414,0.1691792976158395,0.16516176425576198,0.13911830863083544,0.1009436216729424
918.0,0.15624660215287595,0.16307779918951765,0.15750971809861955,0.133937475984682,0.09836012633292211
919.0,0.14933897882301775,0.15621361345990553,0.1506228765571914,0.12875664333852857,0.09448488332289169
920.0,0.14243135549315952,0.14934942773029344,0.14297083040004896,0.12357581069237511,0.09060964031286127
921.0,0.13629124586661892,0.14248524200068133,0.13608398885862077,0.11839497804622166,0.08673439730283085
922.0,0.13091864994339586,0.13714643087764972,0.12996235193290687,0.11580456172314493,0.08415090196281057
923.0,0.12554605402017283,0.13257030705790832,0.1253711242386214,0.1132141454000682,0.08156740662279029
924.0,0.12170848550358493,0.12875687054145715,0.12231030577576443,0.1132141454000682,0.08027565895278015
925.0,0.11940594439363218,0.1257061213282962,0.12001469192862171,0.1132141454000682,0.08027565895278015
926.0,0.11710340328367946,0.12341805941842553,0.11771907808147898,0.1132141454000682,0.08027565895278015
927.0,0.11480086217372672,0.12112999750855481,0.11618866885005051,0.1106237290769915,0.08027565895278015
928.0,0.11326583476709158,0.1180792482953939,0.11389305500290776,0.1106237290769915,0.07898391128277002
929.0,0.11096329365713883,0.11579118638552319,0.11159744115576506,0.10803331275391477,0.07898391128277002
930.0,0.10789323884386853,0.11274043717236225,0.10930182730862231,0.10544289643083804,0.07769216361275987
931.0,0.10559069773391579,0.10968968795920134,0.10700621346147961,0.10544289643083804,0.07640041594274972
932.0,0.10252064292064547,0.10740162604933062,0.1054758042300511,0.10544289643083804,0.07510866827273958
933.0,0.10021810181069275,0.10511356413945994,0.10471059961433686,0.10285248010776132,0.07510866827273958
934.0,0.09791556070074,0.10358818953287945,0.10394539499862263,0.10285248010776132,0.07381692060272946
935.0,0.09714804699742242,0.102062814926299,0.10318019038290839,0.10285248010776132,0.07381692060272946
936.0,0.09638053329410486,0.10130012762300877,0.10241498576719416,0.10544289643083804,0.07381692060272946
937.0,0.09638053329410486,0.10130012762300877,0.10241498576719416,0.10544289643083804,0.07381692060272946
938.0,0.09638053329410486,0.10130012762300877,0.10241498576719416,0.10544289643083804,0.07510866827273958
939.0,0.09638053329410486,0.10130012762300877,0.10241498576719416,0.10803331275391477,0.07510866827273958
940.0,0.09638053329410486,0.102062814926299,0.10241498576719416,0.10803331275391477,0.07640041594274972
941.0,0.09714804699742242,0.10282550222958922,0.10318019038290839,0.10803331275391477,0.07769216361275987
942.0,0.09791556070074,0.10358818953287945,0.10471059961433686,0.10803331275391477,0.07898391128277002
943.0,0.09945058810737517,0.10511356413945994,0.10624100884576537,0.1106237290769915,0.08156740662279029
