cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s,laser-disk-center_CB-5e-3_5-s
1127.207,0.25540479372544717,0.25929107300262033,0.25941507094865934,0.2530913435729074,0.2599026057726746
1128.172,0.24827950077891198,0.2521889167732635,0.25219774607100565,0.2458955180555744,0.2527674101835543
1129.136,0.24174625494890292,0.24569695243488465,0.24558338791941928,0.23930974273588446,0.2462448990654565
1130.1,0.2358097673073643,0.23980313766118605,0.23957450355635093,0.23332899062506526,0.24032957582903622
1131.064,0.2304637776733621,0.23448193711776796,0.23416087116280954,0.22793442726027155,0.23499964595605954
1132.029,0.22567002729413108,0.2296835715440216,0.22930352457124423,0.22308016748239973,0.23020545627429395
1132.993,0.22134710311107073,0.2253280001990805,0.22492297815492882,0.21868267488693166,0.2258657290757437
1133.957,0.21737223235475578,0.22130245659564993,0.22089761419524026,0.2146239135088433,0.2218676918765366
1134.921,0.2135977286013126,0.2174716029241745,0.21707994461607116,0.21076218916529113,0.21807350075858686
1135.886,0.2098712235721349,0.21369798722263728,0.21331593220347897,0.2069545447163059,0.21433752024566932
1136.85,0.20606406933095733,0.20986496984099795,0.2094781086227008,0.2030832540892199,0.21052942244811415
1137.814,0.20209475325729215,0.20589638415881537,0.20548510041780313,0.19907461392085624,0.20656077599187053
1138.778,0.19794022613935336,0.2017670920599458,0.20131672666475722,0.1949097897483692,0.20240406880290662
1139.743,0.1936367818499715,0.19750176242083375,0.19700878542980962,0.19062199942524702,0.19809506947345928
1140.707,0.1892649259910099,0.19316792491046336,0.19264146216532174,0.18628450241373953,0.193718539683983
1141.671,0.1849306413974903,0.18886308144850353,0.1883209990704003,0.18199582955997434,0.18938406700586022
1142.635,0.1807424308739465,0.1846946796982427,0.18415589503566643,0.1778565289592175,0.18520087952376257
1143.6,0.17679065364023802,0.18075874500507952,0.1802362986934872,0.17395061279877255,0.18125877860794712
1144.564,0.17313865838716336,0.17712070936336505,0.17661929593893275,0.17033256627954124,0.17761654410519304
1145.528,0.16981744540652607,0.17380932660763385,0.17332535113206007,0.16702729013793932,0.1742996409690974
1146.492,0.16682735630579487,0.17081861021624622,0.17034330787510618,0.16403507430149836,0.17130286125418534
1147.457,0.16414361637030422,0.1681227236966358,0.16764392133401806,0.16134065678229992,0.1685998710640061
1148.421,0.16172796001330203,0.16568737079150017,0.16519531924421774,0.15891979644825271,0.16615465960481451
1149.385,0.15954078720723827,0.16348325377250378,0.16297240422175238,0.15674723477151964,0.16393463787236942
1150.349,0.1575510810646683,0.16148665316013303,0.16096066122639782,0.154796806272944,0.16191546392258635
1151.314,0.1557373098341531,0.15967956238663775,0.15914883503940708,0.1530423526567308,0.16008048312666287
1152.278,0.15408573902615,0.15804414327890287,0.15752301688464365,0.15145688243957237,0.15841683986304644
1153.242,0.1525847967382675,0.15656148157882438,0.15606301489008922,0.15001516486866814,0.15691054038510138
1154.206,0.15122295843244007,0.15521083694381144,0.1547439460322692,0.14869671382927663,0.1555459889108294
