cm-1,ambient_CB-1e-6_0000-s,ambient_CB-1e-6_0030-s,ambient_CB-1e-6_0060-s,ambient_CB-1e-6_0120-s,ambient_CB-1e-6_0180-s,ambient_CB-1e-6_0240-s,ambient_CB-1e-6_0300-s,ambient_CB-1e-6_0900-s,ambient_CB-1e-6_1200-s
447.0,2.4322340578961743,2.3745647903295946,2.400905981178202,2.0469173562854306,2.138144995403114,2.2004318415068633,2.101404182499972,2.0892912366279828,2.0480052624149843
447.5,2.2197174735342666,2.3622832216731724,2.4496389111167436,2.0852953065447277,2.133066321799288,2.2438253604161758,2.1096691449516194,2.055064203946878,2.0594508386057893
448.0,2.074988467304838,2.26364444094359,2.299594106495771,2.089629181155679,2.0738652942521982,2.2396289804960565,2.0706322821745773,1.9783203595577559,2.0153496321762563
448.5,2.076335748879262,2.2204903356899215,2.200483432959648,2.113331444048358,2.034391867884352,2.2286096509645232,2.0593446384860505,1.945172795454133,1.9859147632331986
449.0,2.257909246143647,2.295594945628833,2.226943085966003,2.2093026186040468,2.0593334139162334,2.252301899581243,2.1197780999219145,1.972893954393607,2.0230685390840035
449.5,2.292125775912213,2.416665216837026,2.294250897710802,2.2930725142776973,2.107004591834988,2.267039035982738,2.1856759993828865,1.9962139325227943,2.0902293341356155
450.0,2.1041969961329694,2.446404376674323,2.279105856119386,2.2445910723830944,2.128772504374631,2.2430560700598585,2.164654685060657,1.9722007447391725,2.1104408715003964
450.5,2.024694208692874,2.4216878856324553,2.2434526414318148,2.1874919354598577,2.146166000245218,2.222655108113921,2.124763852428835,1.962221387170993,2.1218019870612834
451.0,2.0694971300620844,2.424070541210407,2.2789895523452315,2.2063306174896824,2.189376931021818,2.256411047395136,2.1314917278719054,2.008792641982028,2.1949472482246155
451.5,2.196686723773382,2.390521033048765,2.3023392173700454,2.2228655379378464,2.209000448688099,2.308674128975038,2.1427448360312935,2.0543673802030216,2.2300779344684494
452.0,2.2409773388920264,2.295312295698199,2.2318893101793753,2.1497255098161356,2.175530880125579,2.3114710086712336,2.112843644823653,2.026700288407832,2.126046693912358
452.5,2.1673652993465566,2.2586754817253913,2.1816113184283488,2.07777998054137,2.1900937736357142,2.330045862529912,2.0918221837957773,1.9946320158383815,2.0305286603160186
453.0,2.18536041268833,2.3132839642643863,2.217400261530708,2.079212567499395,2.3152171400025807,2.3906669339823674,2.1176755777755933,2.027999698818415,2.019552926519701
453.5,2.337650088773526,2.3681496884944195,2.2612579532546384,2.104365037463139,2.455693720022553,2.3734213975278955,2.127391687176706,2.0674293153953336,2.046928868501159
454.0,2.448020699745715,2.3521801968801057,2.2268652801727042,2.0985450751423915,2.3861996669056316,2.2601432276867235,2.0796454773672743,2.0362744008649467,2.0452249183420403
454.5,2.3019253237028514,2.365882558472448,2.192808776916215,2.1108136498024814,2.2509182263615535,2.181320776545283,2.0466703766664702,2.002379117387353,2.0414979926777024
455.0,2.165904147756364,2.4687720513637825,2.194137197436341,2.1840031206984105,2.1983212593797625,2.180791307488192,2.0622777770566576,2.0236227563044253,2.073341190631653
