cm-1,CB-5e-3_0,no-agent_0,CB-5e-3_60,no-agent_60,CB-5e-3_300,no-agent_300,CB-5e-3_3600,no-agent_3600
2130.991,-0.08670376024709261,0.0392423445879035,-0.07625735788870941,-0.0606619237294493,-0.07408915092418844,-0.05827669304040581,-0.053177501133729196,-0.05041551539184848
2131.955,-0.0869416606067765,0.038874784058711344,-0.07645613023940755,-0.06081492962694241,-0.07440831376232138,-0.058592025126243175,-0.053515097816080597,-0.05060951617788705
2132.919,-0.08717396940505578,0.03849967052099776,-0.0766103352861852,-0.0609661158412128,-0.07471483617560515,-0.058858808727695416,-0.05376035344356349,-0.05078863386371312
2133.884,-0.0873797715058391,0.03813819275821027,-0.07668510647260991,-0.061090311820711105,-0.07495906110531197,-0.05905353003331215,-0.05392264743167988,-0.0509346923568843
2134.848,-0.08752525499276494,0.037825434783213735,-0.07666143524537608,-0.061171362244482816,-0.07511510250414884,-0.05917443682013041,-0.054023769363178445,-0.05104336110047019
2135.812,-0.08757253136060511,0.03760406244567128,-0.07654391411025649,-0.06121287528440388,-0.07519228974198984,-0.05923771418452838,-0.05408919692738295,-0.051119116931014716
2136.776,-0.08750682696615616,0.03749719602357596,-0.07635905610477985,-0.06122654197192235,-0.07522953709430262,-0.05925551540888209,-0.05413325008031066,-0.05117460793230989
2137.741,-0.0873502029317618,0.03749728250840635,-0.07614088576751346,-0.061218438315970486,-0.07526383489727197,-0.059233287695062746,-0.05416442599808586,-0.05122129154013074
2138.705,-0.08714848451573526,0.037563529888491334,-0.07591528111417942,-0.061186571330161504,-0.07531085026499244,-0.05916426371982124,-0.054189772216443555,-0.05127110825316203
2139.669,-0.08694834848320267,0.03765105253685427,-0.0757011805299279,-0.061118674616542606,-0.07537010107307662,-0.0590536559211755,-0.05423512623998313,-0.05132719457846571
2140.633,-0.0867851855860744,0.03772891771248941,-0.07550509561958269,-0.061007829912804165,-0.07543363770398828,-0.05893309617657515,-0.05433539015043982,-0.05139697335596489
2141.598,-0.08666816016642408,0.03778242299422907,-0.07532879462066054,-0.060861818531012885,-0.07550719270435322,-0.058863095719798954,-0.05451308354040034,-0.05148526500920269
2142.562,-0.08658949512869406,0.03781119361447485,-0.07516307497957705,-0.060699471592976464,-0.07559626159091651,-0.05890740824770082,-0.05476096858720508,-0.051599992450269375
2143.526,-0.08652291084387179,0.03782087991547945,-0.07499369957759572,-0.06053868784947994,-0.0756936338866574,-0.059095035602098625,-0.05504055889541166,-0.051748639752414664
2144.49,-0.08643247017650864,0.037824915874231355,-0.07480291587139312,-0.06037897511953736,-0.07577662940848247,-0.059402096515075935,-0.05531132680984098,-0.05192571972920592
2145.455,-0.08628568814169316,0.037838032740175075,-0.07457968290171257,-0.060193558064300094,-0.07581953462197046,-0.05976809676472739,-0.055542722629687936,-0.05211590703973862
2146.419,-0.0860733720137913,0.03786616913833127,-0.0743237024538935,-0.059960520765639985,-0.07581880284480928,-0.060128119042056706,-0.055724678446759664,-0.05230335926168368
