cm-1,CB-5e-3_0,CB-5e-3_1,CB-5e-3_5,CB-5e-3_10,CB-5e-3_20,CB-5e-3_30,CB-5e-3_120
503.3381,-0.11511962765508539,0.014004364215752426,-0.07581495186647316,-0.095505372928539,-0.10300222703201208,-0.0825264524974439,-0.05488190297723189
504.3024,-0.11720845061732131,0.012428464920891896,-0.07876073875850277,-0.0976007941815656,-0.1059065889113197,-0.0847495576066326,-0.05694767521143576
505.2666,-0.11921328447835255,0.010533604968139973,-0.08158102117277632,-0.09985571530473093,-0.10921204768506795,-0.08678465394900074,-0.05817851424712532
506.2309,-0.12104108148340532,0.008198607628089069,-0.08418287821795117,-0.10213217536855629,-0.11256495304924057,-0.08862827498546381,-0.05778257399532584
507.1951,-0.1226779972751382,0.005529321110183734,-0.08667224259366116,-0.1043337204134896,-0.11560659476811075,-0.0903912819953726,-0.05584943572291555
508.1594,-0.12421195206856889,0.0028071104875561437,-0.08923654200936391,-0.10652461817009015,-0.11820448047596514,-0.09222402761509986,-0.053253213678097926
509.1236,-0.12581834190695387,0.0003374841372986901,-0.0919958022866929,-0.1088983351037353,-0.12053679761411859,-0.0942052906446257,-0.05118647783441554
510.0879,-0.12883302763114707,-0.002848086757375574,-0.09616934880704088,-0.11282990741160058,-0.12435790235172413,-0.09744939347124434,-0.050986873013864724
511.0521,-0.13231565263348063,-0.005855768938852922,-0.10048577291206005,-0.11718625416022935,-0.12860458626873905,-0.10089108902568199,-0.052523744095545326
512.0164,-0.13627137863730912,-0.008994079847036068,-0.10483132039962571,-0.12180832929832978,-0.13332725406951085,-0.10452803229620496,-0.05540025604742778
512.9806,-0.14058411814255461,-0.012579643691046059,-0.10919117727193266,-0.1265138023768464,-0.1384449468466706,-0.10838880523742207,-0.05871216461779274
513.9449,-0.1450656904401689,-0.01680489888778607,-0.11362856433713256,-0.13122049727533563,-0.14386864872466415,-0.11252299295251324,-0.061375340314055456
514.9091,-0.14957997644142695,-0.021644392305954902,-0.11820374681257412,-0.13595511948748454,-0.14955262570533837,-0.11695333185959178,-0.06269534764113247
515.8734,-0.15412140421979392,-0.026863629450783123,-0.12294127051943822,-0.140799077132611,-0.15543705382685385,-0.12166452840387296,-0.06269359249529657
516.8376,-0.1588187433903443,-0.032106868296615805,-0.12785883295875247,-0.14580592083465746,-0.1613942281973465,-0.12657861944163182,-0.06220273670986277
517.8019,-0.163837100733224,-0.03707260074986131,-0.1330196909824589,-0.1510068244574965,-0.16729815651722343,-0.13158477767919488,-0.06236692888207793
518.7661,-0.1692499026177402,-0.0416981321018486,-0.13853788714300433,-0.15643760478089666,-0.17319336618553757,-0.13661989171381708,-0.06395258269360864
519.7303,-0.17498098798671588,-0.046214452174191616,-0.14450410761673407,-0.16214689023976778,-0.17932351237542798,-0.14173048793772133,-0.06698179233321247
520.6946,-0.18085318324977903,-0.05101004867606907,-0.15090321401173043,-0.16822087150589202,-0.1859791908572871,-0.1470615832359444,-0.07095021148275628
521.6589,-0.18672801064991695,-0.056373897839486216,-0.15760036650855472,-0.1747286686805771,-0.1932641302311813,-0.1527588062357144,-0.07538957755761516
522.6231,-0.1926096405861313,-0.062349754977778685,-0.164428033569984,-0.1816720970392108,-0.20100368500799315,-0.1588548171729161,-0.08023806468535473
523.5873,-0.19863545694028678,-0.068768369158052,-0.17128669829105436,-0.1889539695302576,-0.20886950454225922,-0.16524150760805997,-0.08560335622519971
524.5516,-0.20495856804950013,-0.07540781314786213,-0.1781992484785938,-0.19640602408891789,-0.21662420019165113,-0.17176257741124587,-0.09132686958868491
525.5159,-0.21309358079052237,-0.08356842689012432,-0.18681180403470435,-0.20540553109746015,-0.22618774358246363,-0.17980297691810354,-0.09737429339545015
526.4801,-0.2216820047803761,-0.0918584657339682,-0.19581456966438954,-0.21455399541523465,-0.2360014422125357,-0.1880860341608792,-0.10270281290930228
527.4443,-0.2306596090377168,-0.10030387842104023,-0.20520332824418663,-0.2239900412454195,-0.24628260068755994,-0.19670918607639049,-0.10705332042439182
528.4086,-0.23999022731546477,-0.10900099036200876,-0.2148990357420109,-0.23389020411948588,-0.25718118759892683,-0.20569262015695314,-0.11057237061801459
