cm-1,CB-5e-5_0,CB-5e-5_1,CB-5e-5_2,CB-5e-5_3,CB-5e-5_4,CB-5e-5_5,CB-5e-5_6,CB-5e-5_7,CB-5e-5_8,CB-5e-5_9
436.8049,-0.08151592315709923,-0.07654593133926356,-0.021461288604071867,-0.026932822234786245,0.0025767938205767853,-0.000913646123366615,0.009451334370835588,-0.0021931852677463627,0.01454908980948918,0.06788641135010572
437.7692,-0.08194058847024857,-0.07600642667383971,-0.02321329672898541,-0.02728036319321099,-0.0006324989481319301,-0.0008516478926197728,0.009582675027355849,-0.0018171423594642037,0.014504552224334052,0.06784834963099372
438.7334,-0.08199629925748933,-0.07563073543791997,-0.024891201484105785,-0.02714915522705069,-0.0031408641686454628,-0.0004818490989799958,0.009531358297749898,-0.0013515463061166513,0.014471121410847188,0.068894129653729
439.6977,-0.08170900556209759,-0.07557026801952536,-0.026080701881446573,-0.02666856350304952,-0.004493582171450275,8.836104289108295e-05,0.009327811527994504,-0.0010281450203844201,0.014460881884841298,0.07064313948742298
440.6619,-0.0811452841910312,-0.07592870900861363,-0.026498869383836495,-0.02610285970759739,-0.004547489285158855,0.0005641237728516335,0.009087862999795396,-0.0010267588573861217,0.014429098503269051,0.07283802625763071
441.6262,-0.08040835542815929,-0.07665258713135933,-0.026144394377396803,-0.02570160875705153,-0.003528830360207676,0.0006765775454051443,0.008944968568917527,-0.0013836259888811567,0.01430385349649194,0.07533755932744403
442.5904,-0.07965460297402271,-0.07750181889035299,-0.02530599292805473,-0.025602061963284854,-0.0018673118920561457,0.00040737035269746845,0.009013257140496828,-0.0020151776355003563,0.014061590597194253,0.07797499462276819
443.5547,-0.07906044432155057,-0.07820416270737056,-0.024390480077948126,-0.02580603945507041,0.00010513557620391976,5.738809279596794e-07,0.009335271685633667,-0.0027621290742530836,0.013759939786437931,0.08039989552995
444.5189,-0.07874782534449924,-0.07861938129638439,-0.023670170184907996,-0.026244842706547544,0.002308867529426652,-0.00024934970895205125,0.009866940711332813,-0.0034848104462660615,0.01350257207948407,0.08208593118877903
445.4832,-0.07871188256708055,-0.07884425638471071,-0.0231712184269661,-0.026840481466855883,0.004835778331703222,-0.00024455264895168177,0.010513790714460904,-0.004114222403412967,0.013350757210425482,0.08248436741365386
446.4474,-0.0788363412941896,-0.07911454940711402,-0.022745950071987132,-0.02752163389286404,0.007713229903223705,-0.00013797694460875704,0.01119322726254096,-0.004619753480763913,0.01327419515610085,0.08122960497400662
447.4117,-0.07897936338026894,-0.07959850986698819,-0.02226873493646907,-0.02819955413290157,0.010767894869986996,-0.00019611797281188348,0.011866542108984805,-0.004954197092522805,0.013196186576192648,0.0782826944866822
