cm-1,AuNP_0,AuNP_60,AuNP_120,AuNP_180,AuNP_240,AuNP_300,AuNP_600
1590.0,0.015507132212639793,0.01306046021868973,0.014876649463941754,0.014967754869008714,0.024677630071360684,0.013344985802053282,0.017473336844936932
1590.5,0.016011560299414355,0.013443073781400191,0.015310177163661417,0.015401892714934796,0.025392098896427896,0.013715691522419322,0.017975838154914815
1591.0,0.0165577276057913,0.013842967106076446,0.015763292079567684,0.015855650399604883,0.026138864803256747,0.014118002812021387,0.018501074776838586
1591.5,0.01714665597805929,0.01427499407305466,0.016269217474454024,0.016362299633907444,0.026972686462005235,0.01456721764901878,0.019087566377299595
1592.0,0.017875887487788754,0.01479838974320624,0.016862468430106085,0.016956407717243556,0.027950457938417158,0.01510870061827786,0.019775342246831102
1592.5,0.018730558304793223,0.015430804294189065,0.0175793102870134,0.01765749860842764,0.029131966848576368,0.01573052927457336,0.020606477700209187
1593.0,0.01969569949177241,0.01614630930521031,0.01839036424356754,0.018469511893256862,0.030468811013112284,0.016450765662631713,0.021546948676164232
1593.5,0.02083665615774099,0.01696365163124625,0.019316893239588916,0.019414476489186587,0.03199606096659273,0.01728896197056113,0.022641521641735534
1594.0,0.02224502027742714,0.017981069223848036,0.02047028311007001,0.020569634520330535,0.03392647371497368,0.018313655133285436,0.024000230864515578
1594.5,0.024001573445171735,0.019258617277677637,0.02191866156844647,0.022020285401478653,0.03631497951538627,0.019600551309045436,0.02568158704926619
1595.0,0.0259157044774839,0.020668062854113198,0.0235166978427049,0.023620897822220134,0.03895053459256021,0.021020591377509803,0.027515509996465043
1595.5,0.027752796021440124,0.021983166759825586,0.025007888889427926,0.02513372147989797,0.041410118735629546,0.022362856068607828,0.029269086186990825
1596.0,0.029297364384323125,0.023108946784127442,0.026284500633188823,0.026393339555262282,0.043515965194535704,0.02348054545728863,0.030752165467613213
1596.5,0.030410063184810127,0.023908805607225865,0.027191578343422267,0.027321903879487186,0.045045151776981186,0.024304532460647354,0.03182925356873864
1597.0,0.030879340437464254,0.02426059104239611,0.027590534077161007,0.02772169947705801,0.04570356298637198,0.02464151629964765,0.03226977454530156
1597.5,0.030620820855960032,0.024066803625990743,0.02737076094531046,0.027501462951822247,0.04534086093318238,0.02446387404686095,0.03203755034604939
1598.0,0.029758687718554513,0.023455144422445756,0.026677099556492518,0.02678661518574419,0.04416361646709682,0.023829524181459324,0.03120832732768273
1598.5,0.02852051513441425,0.022542896554090773,0.025642600130058642,0.02575034276547873,0.04245709006258981,0.02290998937178417,0.029983942028833165
1599.0,0.027038387122157816,0.021462992792820917,0.024418051681096706,0.024542700305269394,0.040437207374595094,0.021821629853043856,0.02856198486651016
1599.5,0.02552402574658284,0.020373184246239785,0.023182352165357224,0.0232860070785963,0.038368554183390344,0.020707016286161565,0.027105877422364647
1600.0,0.024150107466757522,0.01937056644895482,0.02204558531227791,0.022147411087361728,0.03649436681516838,0.01971333108952697,0.02576575137831202
1600.5,0.02297118590764668,0.01851336449345929,0.021073742789468428,0.02117403387882975,0.03489218604839835,0.018849816300627185,0.02463860057786197
1601.0,0.021977344421631528,0.01779454168290403,0.02024123614411351,0.02035784682723083,0.03351978364653668,0.018110158308444885,0.023673179623211357
1601.5,0.021119966260097173,0.01717774868123347,0.019542227245936114,0.01965755010722242,0.03239613715332886,0.0174891458294627,0.022862659217489957
1602.0,0.02045411872917126,0.01670489996537675,0.019006364090397767,0.019120710487364006,0.03148418981599392,0.017013097427561633,0.022241365297375432
1602.5,0.019954169000884838,0.016341862394693946,0.018594954458306265,0.01870855746399914,0.030834199865631528,0.01663245329593439,0.02176439782450043
1603.0,0.019537148169674026,0.01605631068356582,0.018254379948127446,0.018367371659679436,0.030272655338447748,0.01633000537230171,0.021369573699259053
1603.5,0.01918180851211721,0.01580218855908529,0.017966492200727255,0.01807897006563254,0.029770143987937685,0.016074351585352375,0.02101626517150174
1604.0,0.018906763420991252,0.015593874497639115,0.017747325316492306,0.017842559987116494,0.029408898000227866,0.015879727573041295,0.0207622836035871
1604.5,0.018711009266001388,0.015460413993095647,0.017596089392371624,0.017691101212983125,0.029131966848576368,0.01573052927457336,0.020567584343570963
1605.0,0.01855482721279505,0.01534207998998094,0.017461995445316538,0.01755681017639251,0.02891101329848772,0.01561148952429112,0.020412242563073658
1605.5,0.01841847356601506,0.01523876638605173,0.017344922954062755,0.017422836612997594,0.028718108023497342,0.015507561117758674,0.020276621516516952
1606.0,0.01830182511959744,0.015150381022940616,0.017244767237979092,0.01732256388098757,0.02855307807302844,0.015418650793627697,0.02016059906442409
1606.5,0.01820477694748251,0.015076845409355857,0.01716143914189935,0.017255813825069556,0.02841577614976892,0.015344679124190339,0.020064071186882738
1607.0,0.018127242086586795,0.015018094486965632,0.017094864769563498,0.01717248666563308,0.028278676349242866,0.01527081644502289,0.01996768603877018
1607.5,0.018030452748037943,0.014944752529784226,0.016995149621373586,0.01708928184827467,0.028141778077233514,0.015197062435424107,0.019871443198620338
1608.0,0.017953124402061163,0.014886156124758668,0.016928770195999854,0.017022805839569954,0.02803240416251514,0.015138137255225769,0.01979455110619864
1608.5,0.017895188156457922,0.014842253726280516,0.016895609616976684,0.0169729999559575,0.027950457938417158,0.015093988779204743,0.0197369415012186
1609.0,0.01783730325002454,0.01479838974320624,0.016845905101642824,0.0169232378064794,0.027868583754965013,0.015049879149186094,0.019679382765653515
1609.5,0.017760203078624148,0.014739964073665221,0.016763160995932006,0.016856956172113458,0.027759530021568998,0.014991126618251437,0.019602716760000884
1610.0,0.017702437610480442,0.014696189465622388,0.016697052586063122,0.016790751969580967,0.027650603836428228,0.01493244286407339,0.01952614081722433
1610.5,0.01764472317942317,0.014652453049768215,0.016664027277474836,0.016757678848757396,0.027596188481284603,0.01490312672798533,0.01948788655333762
1611.0,0.017606275201482318,0.014608754759517457,0.016614525371924965,0.016708105329699387,0.027514625015835945,0.014859184643697473,0.019430547217760483
1611.5,0.017529447068385422,0.014565094528458828,0.016565066668043606,0.016642074689053758,0.02740598472625907,0.014800655050029537,0.019354173144826542
1612.0,0.01747188520890889,0.014506939975774713,0.016499188801940252,0.016576120895257763,0.02729747102021164,0.014742193712462963,0.0192778884505823
1612.5,0.017414374027525017,0.014463368292204376,0.016433387426845185,0.016526705873156206,0.0272161686338358,0.0146983924066777,0.01922073345893971
1613.0,0.017337771130871107,0.014405331563531744,0.016384086485994497,0.01646088613181675,0.02710787574061206,0.014640050134998627,0.019144604675054917
1613.5,0.017261257959446094,0.014332880013426443,0.016302013440608783,0.01637871881145903,0.026972686462005235,0.01456721764901878,0.01906856469700405
1614.0,0.017184834303304915,0.01427499407305466,0.016220059083688704,0.016296670453529352,0.026837693138357013,0.014494490824596331,0.018973639292443407
1614.5,0.017108499953238546,0.014202730518964014,0.016154580823448013,0.01623111718893495,0.026729839185736702,0.014436385235614028,0.018878851921092045
1615.0,0.017051307672361307,0.014144994585381331,0.016089178129594806,0.01616563966469777,0.02659519715320783,0.014378346917950908,0.01880312113849059
1615.5,0.016956098338153567,0.014072918054212624,0.016007530762160087,0.01608389900301022,0.026460749493537772,0.014305893384191002,0.018708581217941656
1616.0,0.016842030010036767,0.014000945006972012,0.01592600085609149,0.016002276072404252,0.026299668085241836,0.014233544416109982,0.01859531400648437
1616.5,0.0167092015580378,0.013886002637801152,0.015795796484206377,0.01587192341936436,0.02608532534925037,0.014118002812021387,0.018463417199943526
1617.0,0.01648212214291145,0.0137283859846665,0.015601049117527301,0.015676954909662578,0.02579140725865812,0.01395956667838872,0.018256688497996876
1617.5,0.016255829378605084,0.013571263358039121,0.015423116701549671,0.015498821115285591,0.025525011545902077,0.013815967063491082,0.018069320551249976
1618.0,0.016142976290986384,0.013457300890561113,0.015310177163661417,0.015385754087195619,0.025338986903155284,0.0137013828049589,0.017938482701862376
1618.5,0.016049080755722252,0.013371998739305049,0.015213550664661629,0.015289018716469873,0.02517983241666494,0.013615616160801137,0.017807906940200787
1619.0,0.01595531999233627,0.013286841495510408,0.015101027582583495,0.015176369087878559,0.025020949447769784,0.013515740180994556,0.017677592218362348
1619.5,0.015805582132761693,0.013159376256857824,0.01497270275462153,0.015047900252078347,0.024809526252136636,0.013401839328172403,0.017528979412372508
1620.0,0.015656186727138432,0.013046345275954746,0.014828683800533083,0.014919721987825606,0.024572247454538378,0.013274009446883263,0.017362193998245432
1620.5,0.015507132212639793,0.012933568583187385,0.014700973486352976,0.014791832983653278,0.024361839282172552,0.013160655885228844,0.017214297703847744
1621.0,0.01537698792924553,0.012806997336500918,0.014573550323205755,0.014648301988591477,0.024151905403074048,0.013047558056587145,0.01706673620610159
1621.5,0.015210039658981952,0.012694757225144761,0.014430540896016501,0.014505133598534881,0.02391629406191665,0.012920627247026265,0.016901127825101808
1622.0,0.015080485348643898,0.012568786764012685,0.01430372366170427,0.014378175738831642,0.023681277282464875,0.0127940170151283,0.016735939119457754
1622.5,0.014951187472849854,0.01247102812276637,0.01417718958081602,0.014251501663348588,0.023472870196492843,0.012681742407654345,0.016589455318953537
1623.0,0.014785322518809856,0.012331702800194284,0.014003665240016385,0.014077785852206674,0.023213015458490235,0.01254175183558019,0.01638857607279053
1623.5,0.014528144577815441,0.012137295613855636,0.013783581748136754,0.013841755561309378,0.022824587767614785,0.012346419476572574,0.01611564365538241
1624.0,0.014271975180355934,0.01195744725086082,0.013579980986613598,0.013653636580522469,0.022515007833753917,0.01216571841118768,0.01588002309317889
1624.5,0.014107823756901013,0.011833313752532935,0.013455050811061213,0.013528569956689347,0.022309191445723305,0.012054840641280824,0.015735448010252572
1625.0,0.013980435002653486,0.011736977544010669,0.013361533582027305,0.013434950787396807,0.022155127096808728,0.011971842954635357,0.015627226739473817
