cm-1,CB-5e-4_0,CB-5e-4_30,CB-5e-4_120,CB-5e-4_9001
746.3481,1.2157698993608024,1.3659979049807989,1.4133020654863233,1.430135188720072
748.2766,1.3133028002274736,1.4686540656785056,1.5201789547918017,1.5374594871683243
750.2052,1.4097680003282649,1.5704041232536907,1.625955211860242,1.6433851020678238
752.1337,1.4984492680430888,1.6648217022459835,1.7238337694418673,1.7409408254756313
754.0623,1.5733919414740696,1.7463323691590729,1.8079302006256386,1.824119565596671
755.9908,1.6316631008244629,1.8123810631863353,1.8755465318142297,1.8902242075925273
757.9194,1.675001634886033,1.8649364575123635,1.9287485959780675,1.941473489182675
759.8479,1.7098850133633143,1.9104440292909382,1.9742713516171302,1.9848461194716875
761.7765,1.745967201775931,1.9582182193066422,2.0218084419784286,2.030272309339363
763.705,1.7937724557334072,2.018188444750743,2.0816341430473346,2.0881650381470527
765.6335,1.8627182378709597,2.098996024883857,2.162642496319242,2.1674363216106767
767.5621,1.9599788103414342,2.206940265442551,2.271278011822509,2.2744385602727664
769.4907,2.0901314688197727,2.345692356991231,2.411260086040859,2.4127465900737084
771.4192,2.2552290439993943,2.516461918606013,2.5837430344289434,2.583353440496424
773.3478,2.4549419590150543,2.718233426354915,2.7875276085531255,2.7849583830203586
775.2763,2.6864986533102098,2.947851581277099,3.019050815008359,3.0140320981205817
777.2048,2.94411178583366,3.1995465044730667,3.2718035100234415,3.2643326290225514
779.1334,3.217805403084456,3.4638307605400924,3.535067378066032,3.5257443637637667
781.062,3.4917257361756753,3.7257005111876365,3.7921287627044022,3.782489532484956
782.9905,3.742742605595814,3.9629432887353966,4.018949646833242,4.011556738440629
784.9191,3.9414143396554677,4.1465966407278225,4.185797707191448,4.183665996840075
786.8476,4.0580466133420385,4.246680609622755,4.264522982380979,4.269712319478613
788.7761,4.073592601650993,4.243455353010153,4.240200792309392,4.252335945471535
790.7047,3.988582517946297,4.13740630438073,4.118670359328263,4.134838623350981
792.6332,3.8219867046997393,3.9486194093999627,3.9227926491663165,3.9390132640950153
794.5618,3.601380276147911,3.7064189265929754,3.6812551687857624,3.694168627381007
796.4903,3.3531433649535316,3.4386631067250883,3.419413736042659,3.427122302020149
798.4189,3.0978409816148513,3.166682730398818,3.155904484603659,3.1579387422438105
800.3474,2.8497868277099965,2.90487271572169,2.903072887048918,2.899979567197762
802.2759,2.6181047304730725,2.662016329636761,2.668436691116461,2.6613024269167176
