cm-1,CB-5e-5_0,CB-5e-5_5,CB-5e-5_10,CB-5e-5_20,CB-5e-5_30,CB-5e-5_40,CB-5e-5_50,CB-5e-5_60,CB-5e-5_120
412.6987,-0.08085030735881947,-0.1064927844241177,-0.09667214872288973,-0.04646493533872121,-0.07334842505153115,-0.03587945443080676,-0.0012628032013864432,-0.07349190504654225,0.00110935632932687
413.6629,-0.0818020035366483,-0.10694035831232108,-0.09973544985936024,-0.04774541230622908,-0.07362811288988586,-0.03698700799422862,-0.0001214891753970589,-0.07272620909769761,0.002596610753357495
414.6272,-0.0824686692172406,-0.1062751094119907,-0.1018187724162055,-0.04827433221862397,-0.07407223798443173,-0.03898356643813058,0.0012695072806976197,-0.07238686127431448,0.005523204524017623
415.5914,-0.0825992625493531,-0.1051698003520558,-0.10247808955094717,-0.0479871527298054,-0.07472514703490095,-0.04147416029886605,0.0023597047717240412,-0.07266621160955375,0.009347817254929868
416.5557,-0.08215929116884796,-0.10432483844568864,-0.10189553287564962,-0.04708538803285858,-0.07546120962936385,-0.04375355564931924,0.002616891059350788,-0.07347347330234257,0.01290637486515388
417.5199,-0.08133063607346748,-0.10407563904717067,-0.10065913604812723,-0.04595477048843029,-0.07608844940608736,-0.04508032004342355,0.0018986165313203246,-0.07446332724782186,0.01503331318704437
418.4842,-0.08044136219801674,-0.1043258222059044,-0.09952665629640393,-0.044948279001142406,-0.07648870831633474,-0.0449752947605702,0.0006240255922427747,-0.07520560109373765,0.015164100385285062
419.4484,-0.07985834895446949,-0.10474177160456337,-0.09916973180345101,-0.04419288109317003,-0.07664955563475709,-0.04342078149004139,-0.0004903582428901005,-0.07539519356784823,0.01357077843641709
420.4127,-0.07981693134646985,-0.1050061267615039,-0.09983802682920409,-0.04354528474713876,-0.07656201477593437,-0.0408591381785149,-0.000925053371424507,-0.07498575092566921,0.011176866944164351
421.3769,-0.08025352816765675,-0.1049740317166431,-0.10114673177250597,-0.04279792721020204,-0.07617191981170757,-0.03800332159183114,-0.0007025510348590386,-0.07417380412633467,0.009057573687910301
422.3412,-0.0808404091211533,-0.1047612018381334,-0.1022957664749179,-0.041929253741471724,-0.07547761331203016,-0.035554619389666295,-0.00035702033660465105,-0.0732770966842002,0.007914987271148583
423.3054,-0.08118926387756191,-0.10470429707263235,-0.10271744031603122,-0.04118994353994576,-0.0746686168315285,-0.033972452300679926,-0.0005534438456923717,-0.07258429427079953,0.007817257534839998
424.2697,-0.0811101554713316,-0.10517259865816576,-0.10261025913590073,-0.040922946810123595,-0.07407261403998851,-0.03336789477653248,-0.0016395166717524411,-0.07223369670402693,0.008311792965755406
